circle0,circle1,circle2,circle3,circle4,circle5,circle6,circle7,circle8
1043,1410,1469,1320,1177,1231,526,1658,1097
1045,1144,1504,1616,1896,1060,1539,1001,938
1030,950,1727,1025,1053,1727,1579,968,1137
1252,1385,1183,976,1138,1099,1642,1337,1118
1254,1174,1052,651,1057,1227,1852,1897,1319
1368,1087,1807,1237,1403,1158,1317,1439,1747
1197,563,913,1223,979,1891,1585,1395,903
955,1684,1263,566,1016,1635,1736,1562,1548
1111,1676,1690,1881,1664,1423,1554,922,1424
1384,1555,1035,1080,1607,1691,1603,1821,1533
,1549,1531,0,,1120,1572,1133,1468
,389,1699,1142,,1413,946,1814,1733
,1013,1444,517,,1115,1553,912,1568
,1251,1738,1155,,1215,1191,1442,992
,1031,1745,1408,,1436,1666,1038,1378
,1421,1760,563,,1899,1547,1769,1232
,,1429,1692,,1143,1288,1618,1798
,,987,1684,,1381,1494,1657,1363
,,1542,914,,1682,929,1062,958
,,,348,,1257,1722,1818,963
,,,915,,1872,990,1301,1784
,,,420,,1036,1329,1012,910
,,,363,,1018,1050,1885,1186
,,,1487,,1875,1048,899,1837
,,,606,,1379,1805,1780,1371
,,,1766,,1418,1182,908,1895
,,,1549,,1859,1799,1262,1216
,,,366,,1261,983,,1601
,,,1113,,1636,1195,,1787
,,,1679,,1828,1594,,901
,,,1882,,1808,1144,,1880
,,,428,,1448,1092,,1629
,,,58,,1591,1112,,1452
,,,1114,,971,927,,1333
,,,1574,,1515,925,,1314
,,,1332,,1848,1600,,
,,,1387,,1015,1146,,
,,,1767,,,1597,,
,,,1179,,,1584,,
,,,,,,1851,,
,,,,,,1198,,
,,,,,,1435,,
,,,,,,1619,,
,,,,,,1181,,
,,,,,,1184,,
,,,,,,1107,,
,,,,,,1724,,
,,,,,,1845,,
,,,,,,950,,
,,,,,,1344,,
,,,,,,1523,,
,,,,,,1054,,
,,,,,,1836,,
,,,,,,1140,,
,,,,,,1593,,
,,,,,,1827,,
,,,,,,1752,,
,,,,,,1522,,
,,,,,,1708,,
,,,,,,1367,,
,,,,,,1377,,
,,,,,,1608,,
,,,,,,1519,,
,,,,,,1116,,
,,,,,,1126,,
,,,,,,1641,,
,,,,,,1842,,
,,,,,,1726,,
,,,,,,1174,,
,,,,,,1026,,
,,,,,,1088,,
,,,,,,1087,,
,,,,,,1219,,
,,,,,,952,,
,,,,,,1073,,
,,,,,,1398,,
,,,,,,1735,,
,,,,,,980,,
,,,,,,1447,,
,,,,,,951,,
,,,,,,1620,,
,,,,,,1823,,
,,,,,,1132,,
,,,,,,1039,,
,,,,,,1272,,
,,,,,,1789,,
,,,,,,1678,,
,,,,,,1613,,
,,,,,,1612,,
,,,,,,1361,,
,,,,,,1411,,
,,,,,,1761,,
,,,,,,1793,,
,,,,,,1669,,
,,,,,,1172,,
,,,,,,1135,,
,,,,,,1886,,
,,,,,,1557,,
,,,,,,1098,,
,,,,,,1819,,
,,,,,,1540,,
,,,,,,1480,,
,,,,,,1750,,
,,,,,,967,,
,,,,,,1321,,
,,,,,,1391,,
,,,,,,1034,,
,,,,,,1422,,
,,,,,,1902,,
,,,,,,1049,,
,,,,,,1477,,
,,,,,,982,,
,,,,,,1151,,
,,,,,,1161,,
,,,,,,1029,,
,,,,,,1561,,
,,,,,,1271,,
,,,,,,1484,,
,,,,,,1559,,
,,,,,,1178,,
,,,,,,1697,,
,,,,,,1791,,
,,,,,,1683,,
,,,,,,1101,,
,,,,,,947,,
,,,,,,1803,,
,,,,,,978,,
,,,,,,1517,,
,,,,,,1588,,
,,,,,,1817,,
,,,,,,1293,,
,,,,,,1008,,
,,,,,,1684,,
,,,,,,1509,,
,,,,,,1653,,
,,,,,,1278,,
,,,,,,1710,,
,,,,,,961,,
,,,,,,1637,,
,,,,,,922,,
,,,,,,1242,,
,,,,,,920,,
,,,,,,1753,,
,,,,,,1846,,
,,,,,,1290,,
,,,,,,1058,,
,,,,,,1795,,
,,,,,,1470,,
,,,,,,1076,,
,,,,,,934,,
,,,,,,1250,,
,,,,,,1676,,
,,,,,,1617,,
,,,,,,1351,,
,,,,,,1614,,
,,,,,,1883,,
,,,,,,1369,,
,,,,,,1700,,
,,,,,,991,,
,,,,,,1719,,
,,,,,,1535,,
,,,,,,1746,,
,,,,,,921,,
,,,,,,1352,,
,,,,,,1441,,
,,,,,,1405,,
,,,,,,1376,,
,,,,,,1555,,
