circle0,circle1,circle2,circle3,circle4,circle5,circle6,circle7,circle8,circle9,circle10,circle11,circle12,circle13,circle14,circle15,circle16
3989,4010,4013,4024,4006,4035,3999,3984,3988,3983,3990,4001,4012,4038,4014,3982,4003
4009,4037,,3987,,,4028,,4030,3992,4007,4029,,,,,3995
,,,4015,,,4005,,4026,4033,4016,,,,,,3993
,,,,,,3996,,4021,4017,4025,,,,,,4004
,,,,,,4031,,,4000,,,,,,,3985
,,,,,,4018,,,3986,,,,,,,
,,,,,,3994,,,,,,,,,,
,,,,,,4002,,,,,,,,,,
,,,,,,4032,,,,,,,,,,
,,,,,,3991,,,,,,,,,,
,,,,,,3981,,,,,,,,,,
,,,,,,3998,,,,,,,,,,
,,,,,,4036,,,,,,,,,,
,,,,,,4023,,,,,,,,,,
,,,,,,3997,,,,,,,,,,
,,,,,,4011,,,,,,,,,,
,,,,,,4019,,,,,,,,,,
,,,,,,594,,,,,,,,,,
,,,,,,4027,,,,,,,,,,
,,,,,,4008,,,,,,,,,,
,,,,,,4020,,,,,,,,,,
,,,,,,4034,,,,,,,,,,
