circle0,circle1,circle2,circle3,circle4,circle5,circle6,circle7,circle8,circle9,circle10,circle11,circle12,circle13
783,722,776,796,783,705,783,801,823,734,717,705,783,783
717,771,722,729,837,851,823,744,705,722,852,725,797,717
837,768,788,710,843,698,705,785,856,772,798,771,728,837
843,782,796,735,797,828,745,846,697,788,855,818,803,843
797,747,823,769,728,798,697,841,704,796,,802,705,728
728,813,725,761,772,,818,749,752,725,,702,763,772
831,746,707,762,803,,774,759,836,784,,714,820,823
803,854,856,825,823,,800,739,747,853,,691,745,705
823,733,771,692,705,,781,815,774,729,,806,821,824
705,786,782,811,820,,764,775,770,824,,822,730,745
763,789,818,850,853,,708,,841,707,,850,849,856
820,698,746,753,824,,789,,706,697,,839,719,697
748,691,732,715,745,,698,,749,704,,791,737,801
824,806,802,,856,,721,,708,756,,805,755,821
745,742,699,,697,,809,,698,752,,,836,709
856,850,702,,752,,811,,750,849,,,716,719
697,757,733,,821,,805,,809,848,,,747,737
804,833,819,,730,,,,811,777,,,799,755
730,736,714,,709,,,,739,719,,,770,836
709,816,786,,849,,,,757,695,,,841,716
849,743,789,,777,,,,827,755,,,720,747
719,,698,,719,,,,815,845,,,781,800
737,,712,,737,,,,758,817,,,808,702
755,,806,,695,,,,798,701,,,826,781
817,,810,,755,,,,740,771,,,708,808
836,,822,,845,,,,790,716,,,698,749
765,,833,,817,,,,775,769,,,814,838
716,,839,,693,,,,,744,,,809,694
769,,689,,836,,,,,785,,,739,708
782,,791,,701,,,,,768,,,827,789
747,,767,,716,,,,,782,,,758,698
774,,,,747,,,,,731,,,787,852
770,,,,731,,,,,813,,,798,780
718,,,,774,,,,,799,,,790,814
841,,,,770,,,,,818,,,741,809
792,,,,718,,,,,774,,,793,822
720,,,,834,,,,,770,,,832,828
781,,,,760,,,,,746,,,,827
808,,,,800,,,,,732,,,,815
838,,,,792,,,,,760,,,,758
764,,,,720,,,,,846,,,,787
819,,,,781,,,,,802,,,,798
807,,,,706,,,,,800,,,,779
708,,,,808,,,,,699,,,,835
840,,,,713,,,,,854,,,,790
698,,,,838,,,,,792,,,,791
852,,,,694,,,,,702,,,,812
780,,,,764,,,,,781,,,,805
814,,,,847,,,,,713,,,,855
809,,,,819,,,,,723,,,,
687,,,,688,,,,,694,,,,
828,,,,807,,,,,764,,,,
830,,,,708,,,,,733,,,,
754,,,,840,,,,,826,,,,
759,,,,773,,,,,847,,,,
739,,,,844,,,,,714,,,,
827,,,,698,,,,,688,,,,
815,,,,724,,,,,786,,,,
700,,,,810,,,,,708,,,,
758,,,,778,,,,,762,,,,
787,,,,780,,,,,789,,,,
798,,,,766,,,,,698,,,,
779,,,,814,,,,,738,,,,
835,,,,809,,,,,724,,,,
703,,,,687,,,,,691,,,,
790,,,,828,,,,,712,,,,
741,,,,830,,,,,721,,,,
793,,,,754,,,,,690,,,,
832,,,,739,,,,,806,,,,
812,,,,827,,,,,810,,,,
805,,,,726,,,,,751,,,,
775,,,,815,,,,,780,,,,
,,,,758,,,,,766,,,,
,,,,787,,,,,814,,,,
,,,,798,,,,,822,,,,
,,,,779,,,,,742,,,,
,,,,835,,,,,828,,,,
,,,,696,,,,,830,,,,
,,,,703,,,,,850,,,,
,,,,790,,,,,727,,,,
,,,,741,,,,,753,,,,
,,,,793,,,,,827,,,,
,,,,812,,,,,726,,,,
,,,,805,,,,,815,,,,
,,,,,,,,,842,,,,
,,,,,,,,,798,,,,
,,,,,,,,,711,,,,
,,,,,,,,,794,,,,
,,,,,,,,,833,,,,
,,,,,,,,,736,,,,
,,,,,,,,,835,,,,
,,,,,,,,,795,,,,
,,,,,,,,,839,,,,
,,,,,,,,,696,,,,
,,,,,,,,,816,,,,
,,,,,,,,,743,,,,
,,,,,,,,,689,,,,
,,,,,,,,,791,,,,
,,,,,,,,,829,,,,
,,,,,,,,,767,,,,
,,,,,,,,,805,,,,
