circle0,circle1,circle2,circle3,circle4,circle5,circle6,circle7,circle8,circle9,circle10,circle11,circle12,circle13,circle14,circle15,circle16,circle17,circle18,circle19,circle20,circle21,circle22,circle23
71,173,155,51,125,23,337,225,282,336,42,324,278,138,175,108,251,90,177,93,244,12,267,28
215,,99,83,344,,289,46,,204,14,265,,131,227,208,94,52,,33,282,,,149
54,,327,237,295,,93,,,74,216,54,,68,,251,330,172,,333,262,,,162
61,,140,,257,,17,,,206,2,161,,143,,125,5,126,,17,293,,,
298,,116,,55,,111,,,292,,298,,86,,325,34,294,,137,220,,,
229,,147,,122,,52,,,146,,76,,,,176,299,179,,44,174,,,
81,,144,,223,,137,,,154,,165,,,,133,254,145,,343,,,,
253,,150,,59,,343,,,164,,199,,,,276,24,105,,326,,,,
193,,270,,268,,192,,,279,,203,,,,198,180,210,,214,,,,
97,,,,280,,35,,,73,,13,,,,271,194,,,115,,,,
264,,,,84,,326,,,,,66,,,,288,281,,,312,,,,
29,,,,156,,310,,,,,113,,,,316,101,,,41,,,,
132,,,,258,,214,,,,,97,,,,96,266,,,20,,,,
110,,,,236,,32,,,,,252,,,,246,135,,,,,,,
163,,,,250,,115,,,,,313,,,,347,197,,,,,,,
259,,,,239,,321,,,,,238,,,,121,173,,,,,,,
183,,,,69,,209,,,,,158,,,,7,36,,,,,,,
334,,,,,,312,,,,,240,,,,3,9,,,,,,,
245,,,,,,41,,,,,331,,,,170,85,,,,,,,
222,,,,,,20,,,,,332,,,,323,57,,,,,,,
,,,,,,,,,,,134,,,,56,37,,,,,,,
,,,,,,,,,,,218,,,,338,258,,,,,,,
,,,,,,,,,,,118,,,,23,309,,,,,,,
,,,,,,,,,,,235,,,,109,80,,,,,,,
,,,,,,,,,,,311,,,,141,139,,,,,,,
,,,,,,,,,,,151,,,,67,202,,,,,,,
,,,,,,,,,,,308,,,,345,187,,,,,,,
,,,,,,,,,,,212,,,,55,249,,,,,,,
,,,,,,,,,,,70,,,,114,58,,,,,,,
,,,,,,,,,,,211,,,,122,127,,,,,,,
,,,,,,,,,,,,,,,50,48,,,,,,,
,,,,,,,,,,,,,,,304,92,,,,,,,
,,,,,,,,,,,,,,,318,,,,,,,,
,,,,,,,,,,,,,,,65,,,,,,,,
,,,,,,,,,,,,,,,15,,,,,,,,
,,,,,,,,,,,,,,,45,,,,,,,,
,,,,,,,,,,,,,,,317,,,,,,,,
,,,,,,,,,,,,,,,322,,,,,,,,
,,,,,,,,,,,,,,,26,,,,,,,,
,,,,,,,,,,,,,,,31,,,,,,,,
,,,,,,,,,,,,,,,168,,,,,,,,
,,,,,,,,,,,,,,,124,,,,,,,,
,,,,,,,,,,,,,,,285,,,,,,,,
,,,,,,,,,,,,,,,255,,,,,,,,
,,,,,,,,,,,,,,,129,,,,,,,,
,,,,,,,,,,,,,,,40,,,,,,,,
,,,,,,,,,,,,,,,172,,,,,,,,
,,,,,,,,,,,,,,,274,,,,,,,,
,,,,,,,,,,,,,,,95,,,,,,,,
,,,,,,,,,,,,,,,207,,,,,,,,
,,,,,,,,,,,,,,,128,,,,,,,,
,,,,,,,,,,,,,,,339,,,,,,,,
,,,,,,,,,,,,,,,233,,,,,,,,
,,,,,,,,,,,,,,,1,,,,,,,,
,,,,,,,,,,,,,,,294,,,,,,,,
,,,,,,,,,,,,,,,280,,,,,,,,
,,,,,,,,,,,,,,,224,,,,,,,,
,,,,,,,,,,,,,,,269,,,,,,,,
,,,,,,,,,,,,,,,256,,,,,,,,
,,,,,,,,,,,,,,,60,,,,,,,,
,,,,,,,,,,,,,,,328,,,,,,,,
,,,,,,,,,,,,,,,189,,,,,,,,
,,,,,,,,,,,,,,,146,,,,,,,,
