circle0,circle1,circle2,circle3,circle4,circle5,circle6,circle7,circle8,circle9,circle10,circle11,circle12,circle13,circle14,circle15,circle16,circle17,circle18,circle19,circle20,circle21,circle22,circle23,circle24,circle25,circle26,circle27,circle28,circle29,circle30,circle31
3518,3786,3963,3518,3677,3721,3895,3544,3690,3830,3763,3844,3690,3593,3791,3791,3912,3518,3680,3721,3555,3834,3615,3963,3939,3979,3633,3518,3677,3861,3623,3772
3860,3623,3771,3860,3721,3962,,3775,3834,,,3893,3494,3810,3680,3615,3567,3477,3810,3962,,,3553,,3948,3544,3586,,,,,3779
3605,3947,3939,3651,3880,3566,,,3617,,,3799,3617,3506,3825,3553,3819,,3506,3456,,,3677,,,3548,,,,,,3477
3488,3782,3682,3605,3454,3456,,,,,,3612,,3558,3861,3766,,,3718,1085,,,3705,,,3803,,,,,,
3938,,3624,3677,1085,3551,,,,,,3675,,3758,3593,3482,,,3947,3938,,,,,,3660,,,,,,
3574,,3894,3488,3592,3948,,,,,,3836,,,3786,3753,,,3758,3633,,,,,,3775,,,,,,
3604,,3949,3962,3521,3586,,,,,,3476,,,3810,3521,,,,3586,,,,,,3592,,,,,,
3640,,,3880,3830,,,,,,,3759,,,3568,3705,,,,,,,,,,3843,,,,,,
3832,,,3456,3689,,,,,,,3837,,,3771,3470,,,,,,,,,,3674,,,,,,
,,,1085,3948,,,,,,,,,,3506,3907,,,,,,,,,,,,,,,,
,,,3656,3586,,,,,,,,,,3766,,,,,,,,,,,,,,,,,
,,,3753,,,,,,,,,,,3677,,,,,,,,,,,,,,,,,
,,,3938,,,,,,,,,,,3539,,,,,,,,,,,,,,,,,
,,,3574,,,,,,,,,,,3721,,,,,,,,,,,,,,,,,
,,,3521,,,,,,,,,,,3893,,,,,,,,,,,,,,,,,
,,,3830,,,,,,,,,,,3564,,,,,,,,,,,,,,,,,
,,,3633,,,,,,,,,,,3895,,,,,,,,,,,,,,,,,
,,,3604,,,,,,,,,,,3534,,,,,,,,,,,,,,,,,
,,,3948,,,,,,,,,,,3566,,,,,,,,,,,,,,,,,
,,,3674,,,,,,,,,,,3718,,,,,,,,,,,,,,,,,
,,,3907,,,,,,,,,,,3803,,,,,,,,,,,,,,,,,
,,,3640,,,,,,,,,,,3823,,,,,,,,,,,,,,,,,
,,,3832,,,,,,,,,,,3551,,,,,,,,,,,,,,,,,
,,,3586,,,,,,,,,,,3612,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3945,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3454,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3690,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3623,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3770,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3834,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3645,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3947,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3675,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3836,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3759,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3554,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3819,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3705,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3558,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3555,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3494,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3777,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3843,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3782,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3604,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3689,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3617,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3758,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3763,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3719,,,,,,,,,,,,,,,,,
