circle0,circle1,circle2,circle3,circle4,circle5,circle6,circle7,circle8,circle9,circle10,circle11,circle12,circle13
513,378,526,508,549,509,198,378,378,415,468,549,432,526
475,526,536,478,558,419,501,449,449,445,411,378,451,449
388,449,398,534,173,554,476,513,412,473,498,526,420,412
373,412,419,349,198,469,454,405,439,560,453,412,421,489
431,536,375,434,427,477,351,533,446,463,,536,569,475
463,439,493,,428,485,441,504,405,362,,439,465,396
461,446,431,,563,516,364,426,475,535,,446,563,458
517,509,484,,34,424,564,421,520,542,,398,416,533
400,489,494,,480,397,399,433,568,371,,419,430,438
391,398,462,,,551,393,510,502,495,,513,,568
450,419,352,,,381,447,369,478,460,,475,,388
500,513,395,,,380,358,455,431,413,,520,,361
452,405,512,,,518,,563,420,448,,458,,528
366,554,409,,,389,,543,461,,,438,,553
414,475,408,,,435,,407,436,,,388,,565
408,396,511,,,505,,471,491,,,553,,514
525,520,456,,,563,,561,544,,,373,,558
524,458,525,,,459,,350,570,,,565,,497
387,533,440,,,486,,,522,,,514,,432
376,540,538,,,457,,,534,,,558,,504
,438,404,,,357,,,397,,,415,,354
,568,368,,,,,,391,,,508,,547
,388,503,,,,,,367,,,497,,463
,356,479,,,,,,414,,,432,,506
,469,561,,,,,,369,,,493,,544
,442,,,,,,,525,,,445,,481
,502,,,,,,,455,,,537,,372
,361,,,,,,,548,,,431,,519
,528,,,,,,,531,,,473,,570
,571,,,,,,,563,,,173,,355
,553,,,,,,,492,,,198,,390
,373,,,,,,,523,,,560,,363
,565,,,,,,,490,,,463,,402
,514,,,,,,,527,,,484,,397
,558,,,,,,,474,,,494,,566
,415,,,,,,,545,,,451,,470
,508,,,,,,,541,,,420,,450
,497,,,,,,,376,,,461,,500
,432,,,,,,,471,,,392,,367
,375,,,,,,,561,,,436,,482
,493,,,,,,,425,,,506,,452
,477,,,,,,,,,,362,,521
,504,,,,,,,,,,544,,510
,478,,,,,,,,,,517,,360
,445,,,,,,,,,,535,,555
,537,,,,,,,,,,462,,455
,354,,,,,,,,,,570,,548
,431,,,,,,,,,,352,,460
,473,,,,,,,,,,390,,531
,547,,,,,,,,,,417,,488
,560,,,,,,,,,,363,,543
,532,,,,,,,,,,421,,530
,529,,,,,,,,,,400,,557
,463,,,,,,,,,,542,,359
,484,,,,,,,,,,487,,523
,494,,,,,,,,,,402,,403
,451,,,,,,,,,,391,,410
,420,,,,,,,,,,566,,507
,461,,,,,,,,,,395,,474
,392,,,,,,,,,,512,,374
,436,,,,,,,,,,450,,545
,485,,,,,,,,,,500,,496
,516,,,,,,,,,,353,,515
,491,,,,,,,,,,365,,480
,506,,,,,,,,,,427,,541
,362,,,,,,,,,,371,,376
,544,,,,,,,,,,482,,546
,481,,,,,,,,,,569,,370
,426,,,,,,,,,,409,,418
,466,,,,,,,,,,495,,382
,517,,,,,,,,,,559,,562
,372,,,,,,,,,,452,,444
,519,,,,,,,,,,366,,
,535,,,,,,,,,,567,,
,462,,,,,,,,,,414,,
,570,,,,,,,,,,408,,
,352,,,,,,,,,,511,,
,355,,,,,,,,,,521,,
,390,,,,,,,,,,456,,
,417,,,,,,,,,,360,,
,363,,,,,,,,,,465,,
,522,,,,,,,,,,394,,
,421,,,,,,,,,,428,,
,476,,,,,,,,,,525,,
,400,,,,,,,,,,460,,
,424,,,,,,,,,,563,,
,542,,,,,,,,,,488,,
,487,,,,,,,,,,492,,
,402,,,,,,,,,,538,,
,534,,,,,,,,,,523,,
,397,,,,,,,,,,524,,
,391,,,,,,,,,,527,,
,566,,,,,,,,,,416,,
,551,,,,,,,,,,507,,
,395,,,,,,,,,,413,,
,437,,,,,,,,,,423,,
,512,,,,,,,,,,374,,
,381,,,,,,,,,,404,,
,470,,,,,,,,,,545,,
,450,,,,,,,,,,387,,
,500,,,,,,,,,,368,,
,353,,,,,,,,,,34,,
,367,,,,,,,,,,496,,
,371,,,,,,,,,,515,,
,380,,,,,,,,,,376,,
,482,,,,,,,,,,448,,
,569,,,,,,,,,,503,,
,409,,,,,,,,,,483,,
,495,,,,,,,,,,434,,
,559,,,,,,,,,,430,,
,452,,,,,,,,,,370,,
,366,,,,,,,,,,479,,
,567,,,,,,,,,,471,,
,433,,,,,,,,,,561,,
,414,,,,,,,,,,425,,
,408,,,,,,,,,,556,,
,518,,,,,,,,,,444,,
,499,,,,,,,,,,,,
