circle0,circle1,circle2,circle3,circle4,circle5,circle6
475,378,649,611,647,631,622
373,412,558,603,583,584,631
461,513,594,597,661,602,621
391,475,173,579,578,639,611
376,438,428,592,576,678,596
524,669,427,684,615,682,636
348,553,604,677,600,660,584
436,373,567,,595,616,680
,514,607,,582,679,625
,558,107,,599,,619
,651,348,,500,,620
,431,563,,635,,609
,683,667,,632,,588
,614,,,675,,618
,461,,,662,,573
,506,,,670,,629
,544,,,628,,666
,668,,,658,,603
,363,,,643,,597
,400,,,659,,637
,542,,,577,,672
,637,,,665,,612
,391,,,681,,602
,566,,,640,,589
,559,,,650,,579
,395,,,627,,639
,428,,,,,664
,500,,,,,678
,606,,,,,575
,604,,,,,685
,591,,,,,623
,567,,,,,644
,607,,,,,592
,374,,,,,682
,465,,,,,684
,580,,,,,574
,496,,,,,617
,376,,,,,626
,492,,,,,641
,370,,,,,655
,524,,,,,605
,641,,,,,601
,423,,,,,653
,601,,,,,630
,394,,,,,654
,676,,,,,598
,107,,,,,107
,348,,,,,590
,515,,,,,677
,590,,,,,674
,674,,,,,616
,563,,,,,633
,483,,,,,483
,434,,,,,679
,436,,,,,638
,561,,,,,422
,556,,,,,663
,,,,,,657
