circle0,circle1,circle2,circle3,circle4,circle5,circle6,circle7,circle8,circle9,circle10,circle11,circle12
828,882,828,882,774,879,862,876,872,697,862,747,883
830,863,708,863,856,870,776,889,867,,868,,860
708,888,880,888,,858,857,,776,,871,,
713,753,800,729,,871,,,877,,865,,
840,729,772,878,,881,,,874,,860,,
803,864,840,876,,866,,,873,,810,,
747,884,774,886,,895,,,887,,,,
774,878,823,889,,,,,885,,,,
823,825,810,856,,,,,,,,,
745,876,745,875,,,,,,,,,
856,886,856,804,,,,,,,,,
697,889,697,,,,,,,,,,
719,856,805,,,,,,,,,,
,875,,,,,,,,,,,
,893,,,,,,,,,,,
,804,,,,,,,,,,,
