1000,,,,,,,,,
0,1,2,3,4,5,6,7,8,9
10,11,12,13,14,15,16,17,18,19
20,21,22,23,24,25,26,27,28,29
30,31,32,33,34,35,36,37,38,39
40,41,42,43,44,45,46,47,48,49
50,51,52,53,54,55,56,57,58,59
60,61,62,63,64,65,66,67,68,69
70,71,72,73,74,75,76,77,78,79
80,81,82,83,84,85,86,87,88,89
90,91,92,93,94,95,96,97,98,99
1000,,,,,,,,,
41,40,42,43,44,45,46,47,48,49
12,10,11,13,14,15,16,17,18,19
60,61,62,63,64,65,66,67,68,69
84,80,81,82,83,85,86,87,88,89
26,20,21,22,23,24,25,27,28,29
52,50,51,53,54,55,56,57,58,59
90,91,92,93,94,95,96,97,98,99
2,0,1,3,4,5,6,7,8,9
31,30,32,33,34,35,36,37,38,39
77,70,71,72,73,74,75,76,78,79
1000,,,,,,,,,
44,40,41,42,43,45,46,47,48,49
90,91,92,93,94,95,96,97,98,99
25,20,21,22,23,24,26,27,28,29
62,60,61,63,64,65,66,67,68,69
81,80,82,83,84,85,86,87,88,89
31,30,32,33,34,35,36,37,38,39
75,70,71,72,73,74,76,77,78,79
51,50,52,53,54,55,56,57,58,59
16,10,11,12,13,14,15,17,18,19
4,0,1,2,3,5,6,7,8,9
1000,,,,,,,,,
24,20,21,22,23,25,26,27,28,29
57,50,51,52,53,54,55,56,58,59
97,90,91,92,93,94,95,96,98,99
10,11,12,13,14,15,16,17,18,19
39,30,31,32,33,34,35,36,37,38
8,0,1,2,3,4,5,6,7,9
78,70,71,72,73,74,75,76,77,79
88,80,81,82,83,84,85,86,87,89
64,60,61,62,63,65,66,67,68,69
46,40,41,42,43,44,45,47,48,49
1000,,,,,,,,,
14,10,11,12,13,15,16,17,18,19
98,90,91,92,93,94,95,96,97,99
53,50,51,52,54,55,56,57,58,59
48,40,41,42,43,44,45,46,47,49
84,80,81,82,83,85,86,87,88,89
77,70,71,72,73,74,75,76,78,79
6,0,1,2,3,4,5,7,8,9
66,60,61,62,63,64,65,67,68,69
32,30,31,33,34,35,36,37,38,39
28,20,21,22,23,24,25,26,27,29
1000,,,,,,,,,
75,70,71,72,73,74,76,77,78,79
65,60,61,62,63,64,66,67,68,69
43,40,41,42,44,45,46,47,48,49
52,50,51,53,54,55,56,57,58,59
96,90,91,92,93,94,95,97,98,99
30,31,32,33,34,35,36,37,38,39
13,10,11,12,14,15,16,17,18,19
28,20,21,22,23,24,25,26,27,29
83,80,81,82,84,85,86,87,88,89
3,0,1,2,4,5,6,7,8,9
1000,,,,,,,,,
19,10,11,12,13,14,15,16,17,18
97,90,91,92,93,94,95,96,98,99
62,60,61,63,64,65,66,67,68,69
6,0,1,2,3,4,5,7,8,9
50,51,52,53,54,55,56,57,58,59
74,70,71,72,73,75,76,77,78,79
38,30,31,32,33,34,35,36,37,39
88,80,81,82,83,84,85,86,87,89
20,21,22,23,24,25,26,27,28,29
44,40,41,42,43,45,46,47,48,49
1000,,,,,,,,,
33,30,31,32,34,35,36,37,38,39
20,21,22,23,24,25,26,27,28,29
11,10,12,13,14,15,16,17,18,19
98,90,91,92,93,94,95,96,97,99
46,40,41,42,43,44,45,47,48,49
57,50,51,52,53,54,55,56,58,59
83,80,81,82,84,85,86,87,88,89
3,0,1,2,4,5,6,7,8,9
64,60,61,62,63,65,66,67,68,69
75,70,71,72,73,74,76,77,78,79
1000,,,,,,,,,
82,80,81,83,84,85,86,87,88,89
26,20,21,22,23,24,25,27,28,29
49,40,41,42,43,44,45,46,47,48
51,50,52,53,54,55,56,57,58,59
30,31,32,33,34,35,36,37,38,39
92,91,93,94,95,96,97,98,99,
62,60,61,63,64,65,66,67,68,69
2,0,1,3,4,5,6,7,8,9
13,10,11,12,14,15,16,17,18,19
77,70,71,72,73,74,75,76,78,79
90,,,,,,,,,
1000,,,,,,,,,
8,0,1,2,3,4,5,6,7,9
92,90,91,93,94,95,96,97,98,99
16,10,11,12,13,14,15,17,18,19
50,51,52,53,54,55,56,57,58,59
32,30,31,33,34,35,36,37,38,39
81,80,82,83,84,85,86,87,88,89
65,60,61,62,63,64,66,67,68,69
79,70,71,72,74,75,76,77,78,
28,20,21,22,23,24,25,26,27,29
46,40,41,42,43,44,45,48,49,
47,,,,,,,,,
73,,,,,,,,,
1000,,,,,,,,,
74,70,71,72,73,75,76,77,78,79
47,40,41,42,43,44,45,46,48,49
5,0,1,3,4,6,7,8,9,
90,91,92,93,94,95,96,97,98,99
51,50,52,53,54,55,56,57,58,59
36,30,31,32,33,34,35,37,38,39
11,10,12,13,14,15,16,17,18,19
26,20,21,22,23,24,25,28,29,
81,80,82,83,84,85,87,88,89,
69,60,61,62,63,64,65,66,67,68
2,,,,,,,,,
27,,,,,,,,,
86,,,,,,,,,
1000,,,,,,,,,
70,71,72,73,74,75,76,77,78,79
87,80,81,82,83,84,85,86,88,89
38,30,31,32,33,34,35,36,37,39
29,20,21,22,23,24,25,26,27,28
94,90,91,92,93,95,96,97,98,99
51,50,52,53,54,55,56,57,58,59
17,10,11,12,14,15,16,18,19,
43,40,41,42,44,45,46,47,48,49
6,0,1,2,3,4,5,7,9,
69,60,61,62,63,64,65,66,67,68
8,,,,,,,,,
13,,,,,,,,,
1000,,,,,,,,,
71,70,72,73,74,75,76,77,79,
24,20,21,22,23,25,27,28,29,
92,90,91,93,94,95,96,97,98,99
51,50,52,53,54,55,56,57,58,59
30,31,32,33,34,35,36,37,38,39
80,81,82,83,84,85,86,87,88,89
5,0,1,2,3,4,6,7,8,9
69,60,61,62,63,64,65,67,,
47,40,41,42,44,45,46,48,49,
18,13,14,15,,,,,,
11,17,,,,,,,,
10,,,,,,,,,
12,,,,,,,,,
16,,,,,,,,,
19,,,,,,,,,
26,,,,,,,,,
43,,,,,,,,,
66,68,,,,,,,,
78,,,,,,,,,
1000,,,,,,,,,
92,90,91,93,94,95,96,97,98,99
29,20,21,22,23,24,25,26,27,28
61,60,62,63,65,66,67,68,69,
10,11,12,13,14,15,16,17,18,19
55,50,51,52,53,54,57,58,59,
76,70,72,73,74,75,78,79,,
33,30,31,32,34,35,36,39,,
1,0,3,4,8,9,,,,
48,41,42,43,44,45,46,47,49,
81,80,84,86,,,,,,
89,83,88,,,,,,,
2,,,,,,,,,
5,,,,,,,,,
6,,,,,,,,,
7,,,,,,,,,
37,,,,,,,,,
38,,,,,,,,,
40,,,,,,,,,
56,,,,,,,,,
64,,,,,,,,,
71,,,,,,,,,
77,,,,,,,,,
82,,,,,,,,,
85,,,,,,,,,
87,,,,,,,,,
1000,,,,,,,,,
80,81,82,83,84,85,86,87,88,89
36,30,31,32,34,35,37,38,39,
69,60,61,62,63,64,65,66,67,68
48,40,41,42,44,45,47,49,,
10,11,12,13,14,15,17,19,,
50,52,53,54,55,56,57,59,,
72,70,73,74,75,76,77,78,79,
90,92,93,94,96,98,99,,,
27,20,21,22,23,24,28,,,
